customer_id,full_name,mobile_number,age,valid_age,valid_gender,region,date_joined,is_business_user,risk_score,risk_check_flag,validation_status_flag,cleaning_status
cust100000,Ryan Gallagher,7631706690,26,OK,Female,north,28-01-2024,FALSE,0.39,OK,OK,Cleaned and Validated
cust100001,Robert Garza,Unavailable,49,OK,Female,west,16-04-2025,FALSE,0.13,OK,Needs Review,Cleaned and Validated
cust100002,Haley Rhodes,8124158683,68,OK,Male,west,02-10-2022,TRUE,0.14,OK,OK,Cleaned and Validated
cust100003,Sonya Mathis,3662585178,42,OK,Male,north,18-02-2021,FALSE,0.07,OK,OK,Cleaned and Validated
cust100004,Ryan Wood,9996228303,35,OK,Female,south,17-04-2023,FALSE,0.3,OK,OK,Cleaned and Validated
cust100005,Crystal Palmer,9068288360,24,OK,Female,north,31-12-2022,TRUE,0,OK,OK,Cleaned and Validated
cust100006,Julian Everett,5088995790,59,OK,Female,west,13-08-2024,FALSE,0.41,OK,OK,Cleaned and Validated
cust100007,Krista White,1107043419,45,OK,Female,central,07-08-2021,FALSE,0.11,OK,OK,Cleaned and Validated
cust100008,Christopher Scott,5771046563,46,OK,Female,central,20-11-2021,FALSE,0.24,OK,OK,Cleaned and Validated
cust100009,Nicholas Davila,6202786838,32,OK,Female,west,11-06-2022,FALSE,0.17,OK,OK,Cleaned and Validated
cust100010,Amanda Leonard,2304114426,19,OK,Male,central,06-03-2023,FALSE,0.38,OK,OK,Cleaned and Validated
cust100011,Justin Jefferson,9806351396,24,OK,Male,east,21-07-2023,FALSE,0,OK,OK,Cleaned and Validated
cust100012,Todd Price Md,4023592563,39,OK,Female,central,12-04-2021,FALSE,0.16,OK,OK,Cleaned and Validated
cust100013,James Kelley,Unavailable,45,OK,Female,south,15-02-2023,FALSE,0.15,OK,Needs Review,Cleaned and Validated
cust100014,Gerald Wilson,9815061622,55,OK,Female,west,19-04-2022,FALSE,0.34,OK,OK,Cleaned and Validated
cust100015,Rachael Gray,5498174104,50,OK,Male,north,27-08-2020,FALSE,0.07,OK,OK,Cleaned and Validated
cust100016,Anna Wilson,6217232166,65,OK,Female,west,17-08-2024,FALSE,0.18,OK,OK,Cleaned and Validated
