upi_id,customer_id,bank_name,account_type,date_added,status,account_age_days,cleaning_status
elizabeth4408@upi,cust106759,Sbi,Current,2022-02-22,Active,1351,Cleaned and Validated
daniel5127@upi,cust104765,Hdfc,Savings,2022-04-02,Active,1312,Cleaned and Validated
heidi2675@upi,cust102710,Axis,Savings,2023-12-19,Active,686,Cleaned and Validated
dr.3519@upi,cust107076,Axis,Credit_Card_Linked,2025-01-23,Active,285,Cleaned and Validated
jeremy9552@upi,cust102202,Sbi,Current,2025-07-18,Active,109,Cleaned and Validated
michael1769@upi,cust108834,Hdfc,Savings,2024-04-21,Active,562,Cleaned and Validated
dennis4906@upi,cust106735,Pnb,Current,2021-06-13,Active,1605,Cleaned and Validated
omar6644@upi,cust106890,Pnb,Current,2024-09-10,Active,420,Cleaned and Validated
rachael7253@upi,cust100697,Axis,Credit_Card_Linked,2024-01-11,Active,663,Cleaned and Validated
ashley3227@upi,cust109510,Axis,Savings,2023-02-08,Active,1000,Cleaned and Validated
brooke9375@upi,cust101306,Sbi,Current,2023-11-19,Active,716,Cleaned and Validated
kayla1379@upi,cust109780,Icici,Credit_Card_Linked,2025-03-03,Active,246,Cleaned and Validated
susan1668@upi,cust106234,Hdfc,Current,2025-01-17,Active,291,Cleaned and Validated
kathleen6696@upi,cust102667,Icici,Credit_Card_Linked,2025-01-30,Active,278,Cleaned and Validated
laurie7296@upi,cust104084,Pnb,Credit_Card_Linked,2021-01-29,Active,1740,Cleaned and Validated
tyler3680@upi,cust107871,Kotak,Savings,2024-12-20,Active,319,Cleaned and Validated
francisco4261@upi,cust104904,Pnb,Credit_Card_Linked,2023-11-28,Active,707,Cleaned and Validated
christina3163@upi,cust107719,Icici,Savings,2024-01-14,Active,660,Cleaned and Validated
carla8324@upi,cust100480,Icici,Savings,2025-07-01,Active,126,Cleaned and Validated
holly6443@upi,cust109268,Hdfc,Current,2025-02-12,Active,265,Cleaned and Validated
laura3343@upi,cust107141,Sbi,Credit_Card_Linked,2025-01-06,Active,302,Cleaned and Validated
nichole5977@upi,cust108526,Hdfc,Current,2024-05-20,Active,533,Cleaned and Validated
